Region_of_Residence,Age,Gender,Monthly_Grocery_Budget,Employment_Status,HH_Income,Total_Kids_inHH,Number_Stores_ShoppedAtPast4Weeks,Year,DemoWeight,BANNER_KEY,BANNER_ShareOfWallet,BANNER_InStoreVisits,BANNER_DeliveryVisits,BANNER_PickUpVisits,BANNER_Recommend,BANNER_Trust,BANNER_UsefulInfo,BANNER_DiscountsCouponsRelevance,BANNER_RightVarietyofProducts,BANNER_QualityProducts,BANNER_CheckOut,BANNER_Staff,BANNER_CleanStore,BANNER_Rewards,BANNER_Location,BANNER_SpeedofShop,BANNER_OnlineShopping,BANNER_OneStopShop,BANNER_OutofStocks,BANNER_NaturalOrganicVariety,BANNER_NewDifferentVariety,BANNER_Fun,BANNER_LocalVariety,BANNER_CommunityConnection,BANNER_BasePrices,BANNER_Tech,BANNER_Advertising,BANNER_BetterForYou,BANNER_LoyaltySaves,BANNER_PrivateBrandSaves,BANNER_DiscountPrevalence,BANNER_DiscountDepth,BANNER_Sustainability,BANNER_Employees,BANNER_Values
2,5,2,200,1,2,1,4,2021,.906,31,80,4,0,0,5,5,3,5,4,4,3,3,4,5,5,3,3,5,3,3,3,4,3,3,4, , , , , , , , , , 
1,6,2,400,6,2,1,3,2021,.717,3,30,4,0,0,4,4,1,1,2,3,3,3,4,1,5,4,4,1,3,3,4,4,3,5,4, , , , , , , , , , 
1,8,2,85,4,2,1,2,2021,.762,61,60,2,0,0,5,3,1,3,4,3,3,4,4,3,4,4,3,2,4,3,4,3,3,4,4, , , , , , , , , , 
2,6,2,100,2,4,1,2,2021,1.229,3,30,20,0,0,5,4,5,3,5,4,3,5,3,5,4,5,3,5,5,5,3,3,3,3,3, , , , , , , , , , 
1,6,2,350,1,2,1,4,2021,.815,7,10,20,0,0,5,5,3,5,5,5,4,3,5,3,5,5,3,2,3,5,5,3,5,5,2, , , , , , , , , , 
1,5,2,450,2,3,1,5,2021,.635,8,20,1,4,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,4,5,5,4,5,5, , , , , , , , , , 
2,5,2,500,1,4,1,3,2021,1.043,61,40,2,0,0,4,5,3,3,4,4,3,3,4,3,4,3,4,4,3,4,4,4,3,4,4, , , , , , , , , , 
2,6,2,720,6,2,1,2,2021,.757,4,15,1,3,0,4,3,2,1,2,3,5,5,5,1,5,5,5,1,3,3,5,2,1,1,5, , , , , , , , , , 
4,3,2,600,1,4,3,5,2021,.749,31,15,15,7,3,4,5,4,5,5,4,2,5,5,5,4,2,4,3,2,5,5,5,5,4,5, , , , , , , , , , 
1,6,2,600,1,7,1,6,2021,2.948,10,30,2,0,0,5,4,3,3,4,4,5,3,4,4,4,4,4,4,2,4,4,4,3,4,4, , , , , , , , , , 
1,8,2,500,4,7,1,7,2021,2.465,1,3,2,0,0,1,5,3,3,1,3,3,3,3,3,3,1,3,1,3,4,1,1,4,5,4, , , , , , , , , , 
1,7,2,100,4,3,1,4,2021,.882,3,50,20,0,0,5,3,4,3,3,4,4,4,5,2,4,5,4,2,2,4,2,3,2,3,5, , , , , , , , , , 
1,7,2,100,4,3,1,4,2021,.882,8,10,100,0,0,4,3,4,4,3,4,4,4,5,2,4,3,4,2,2,4,3,3,2,3,4, , , , , , , , , , 
2,6,2,450,1,4,1,3,2021,1.142,31,20,4,0,0,5,4,4,4,4,3,5,3,5,4,5,5,3,2,2,3,3,3,1,3,2, , , , , , , , , , 
2,6,2,450,1,4,1,3,2021,1.142,61,10,4,0,0,4,2,1,1,4,3,4,3,5,1,5,5,3,1,2,3,3,3,1,3,2, , , , , , , , , , 
4,8,2,100,4,4,1,4,2021,.966,13,90,4,0,0,5,5,3,5,5,5,5,5,5,3,5,5,1,5,1,3,3,5,5,5,5, , , , , , , , , , 
1,6,2,50,4,3,1,3,2021,.75,10,25,1,0,0,4,5,4,3,2,5,3,3,5,1,1,2,4,1,4,1,5,3,1,3,3, , , , , , , , , , 
1,6,2,50,4,3,1,3,2021,.75,31,25,2,0,0,4,4,3,3,4,4,3,2,4,3,2,3,3,1,3,1,2,3,1,3,1, , , , , , , , , , 
2,6,2,500,1,3,1,3,2021,1.032,3,10,1,0,0,5,5,2,1,5,4,4,5,5,2,2,5,3,2,4,3,4,3,1,5,5, , , , , , , , , , 
1,8,2,100,4,4,1,1,2021,.852,7,90,3,0,0,5,5,3,3,5,4,5,4,5,3,5,4,3,5,1,4,5,3,3,4,3, , , , , , , , , , 
1,8,2,115,1,3,1,2,2021,.933,3,20,2,0,0,4,3,3,3,4,4,1,2,3,3,4,4,3,2,3,3,3,3,3,3,3, , , , , , , , , , 
2,8,2,200,4,4,1,3,2021,1.254,3,20,1,0,0,4,4,1,3,4,4,4,4,4,2,4,4,3,4,2,4,4,1,3,4,4, , , , , , , , , , 
4,8,2,60,4,4,1,4,2021,.966,43,40,2,0,0,4,5,5,5,5,4,5,4,5,5,5,5,3,4,1,4,5,4,3,5,3, , , , , , , , , , 
2,5,2,200,5,3,1,3,2021,.613,31,65,20,5,0,5,5,4,5,5,5,5,5,5,4,5,4,5,4,4,4,4,5,3,4,4, , , , , , , , , , 
2,5,2,150,4,4,1,2,2021,.631,61,50,4,0,0,5,4,3,4,5,5,2,1,4,3,4,4,4,4,2,4,4,3,3,4,4, , , , , , , , , , 
1,5,2,150,1,3,1,2,2021,.687,61,50,1,0,0,3,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3, , , , , , , , , , 
2,5,2,400,5,3,1,3,2021,1.064,31,40,4,0,1,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4, , , , , , , , , , 
2,5,2,500,2,4,1,3,2021,.631,61,25,2,0,0,4,3,3,4,4,3,1,3,4,1,5,2,3,4,5,3,3,3,3,3,4, , , , , , , , , , 
2,4,2,400,1,3,1,4,2021,.667,4,40,1,4,0,5,5,3,3,4,4,5,3,3,3,3,5,5,4,4,4,5,5,4,3,4, , , , , , , , , , 
2,5,2,850,1,4,1,6,2021,1.128,31,40,3,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5, , , , , , , , , , 
3,7,2,300,4,5,1,3,2021,1.419,61,25,1,0,2,4,3,3,4,3,4,4,3,4,3,4,3,5,4,4,3,3,4,3,4,4, , , , , , , , , , 
2,5,2,400,1,3,1,3,2021,.844,3,35,2,0,0,4,4,2,3,4,3,5,4,4,2,4,4,3,4,2,2,3,1,2,2,5, , , , , , , , , , 
2,5,2,400,1,3,1,3,2021,.844,12,40,3,0,0,5,4,2,4,4,4,5,5,4,2,4,5,3,5,1,2,3,1,2,3,4, , , , , , , , , , 
1,4,2,500,1,3,3,4,2021,.718,7,30,20,0,0,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,4,5,5,5,4,5, , , , , , , , , , 
3,7,2,300,1,6,1,6,2021,1.896,8,30,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , 
3,7,2,300,1,6,1,6,2021,1.896,43,20,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , 
4,5,2,400,6,1,1,5,2021,1.141,2,20,1,0,1,3,3,5,1,3,3,3,1,5,5,5,5,3,3,1,3,3,3,1,1,1, , , , , , , , , , 
2,6,2,450,1,6,2,4,2021,1.044,3,60,4,0,0,4,4,4,3,4,4,3,4,4,1,4,3,3,4,5,3,4,3,2,2,4, , , , , , , , , , 
3,5,2,250,1,4,1,2,2021,.604,8,65,1,1,0,5,5,4,5,5,4,5,4,5,5,5,4,5,5,2,4,4,5,4,3,5, , , , , , , , , , 
2,6,2,250,5,1,1,2,2021,.906,31,80,4,0,0,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4, , , , , , , , , , 
1,5,2,875,1,5,2,4,2021,.726,8,20,4,0,0,3,3,3,3,2,3,3,1,4,2,2,3,3,1,4,2,2,2,1,2,2, , , , , , , , , , 
4,5,2,250,4,2,1,3,2021,.88,61,40,1,2,0,5,4,4,4,5,4,5,4,4,3,5,5,4,4,4,3,4,4,1,3,5, , , , , , , , , , 
4,6,2,150,2,3,1,4,2021,.966,10,30,4,0,0,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5, , , , , , , , , , 
3,5,2,50,2,1,2,4,2021,.94,31,10,20,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
3,6,2,300,1,2,3,2,2021,.88,61,60,3,0,0,5,5,3,3,5,5,5,4,3,1,5,2,4,5,2,3,5,2,3,5,5, , , , , , , , , , 
3,6,2,400,4,4,1,3,2021,.743,61,55,5,0,0,5,3,3,4,5,4,3,2,3,3,5,5,5,5,5,3,3,2,5,5,4, , , , , , , , , , 
2,4,2,100,2,3,3,1,2021,.635,4,100,100,10,10,5,5,4,5,4,4,5,4,4,5,4,4,5,4,5,5,5,5,5,4,4, , , , , , , , , , 
3,7,2,125,4,1,1,3,2021,1.203,61,100,2,0,0,4,5,2,3,4,4,5,4,4,3,4,4,3,4,2,3,3,3,3,4,3, , , , , , , , , , 
2,7,2,400,4,3,1,2,2021,1.764,61,10,1,0,0,4,4,4,3,5,5,2,3,3,1,4,2,3,5,4,3,5,3,2,3,4, , , , , , , , , , 
3,6,2,200,4,2,1,3,2021,.588,3,25,20,0,0,5,4,3,1,3,4,2,2,4,2,4,4,3,2,4,3,3,4,2,4,3, , , , , , , , , , 
3,6,2,200,4,2,1,3,2021,.588,61,20,20,0,0,5,4,3,1,3,3,3,2,4,2,4,4,4,4,5,3,3,4,2,4,3, , , , , , , , , , 
2,7,2,500,4,7,1,1,2021,5.447,10,30,4,0,0,5,5,4,4,4,5,3,4,5,5,5,4,4,2,2,4,4,3,3,4,4, , , , , , , , , , 
3,4,2,700,2,3,2,5,2021,.863,10,15,1,1,0,5,4,3,4,4,4,3,4,4,3,3,3,3,3,3,4,4,4,3,3,4, , , , , , , , , , 
3,4,2,700,2,3,2,5,2021,.863,31,10,1,0,0,4,3,3,3,4,3,3,3,4,3,4,3,2,3,3,4,4,3,3,3,3, , , , , , , , , , 
3,5,2,400,7,2,2,2,2021,.656,61,20,100,0,0,5,4,1,3,4,4,3,3,4,1,5,3,3,5,4,3,4,3,1,4,4, , , , , , , , , , 
4,7,2,255,2,4,1,4,2021,1.277,4, ,1,0,0,5,5,3,5,4,5,5,5,5,5,5,4,5,5,3,3,5,5,3,4,3, , , , , , , , , , 
4,7,2,300,4,1,1,2,2021,1.49,61,50,5,0,0,4,4,2,2,3,5,4,3,4,3,4,4,3,5,3,4,4,4,4,2,4, , , , , , , , , , 
3,7,2,450,4,3,2,2,2021,1.931,61,50,20,0,0,3,3,1,3,5,3,1,1,5,1,3,1,3,5,3,3,5,1,3,3,3, , , , , , , , , , 
3,7,2,150,1,3,1,2,2021,1.241,31,75,3,0,0,5,5,5,1,5,5,5,2,5,5,5,5,5,5,4,5,5,3,3,5,5, , , , , , , , , , 
2,7,2,111,4,2,1,2,2021,1.687,61,15,2,0,0,4,4,4,1,4,4,4,4,5,3,5,4,3,4,1,4,5,3,3,4,4, , , , , , , , , , 
2,8,2,200,5,1,1,3,2021,.879,3,45,2,0,0,5,5,4,3,4,4,5,3,4,1,5,5,3,3,4,4,4,3,4,3,5, , , , , , , , , , 
1,8,2,600,4,6,1,3,2021,1.104,61,20,2,0,0,5,5,3,3,4,3,3,3,4,3,4,3,3,4,1,2,3,3,2,3,3, , , , , , , , , , 
3,7,2,150,4,3,1,3,2021,1.27,10,20,1,0,0,5,5,5,5,4,4,4,4,5,1,5,4,3,3,1,3,5,3,3,3,5, , , , , , , , , , 
2,5,2,500,2,2,1,3,2021,1.1,61,60,1,2,2,5,4,2,1,5,4,4,3,4,3,5,2,5,5,4,2,3,4,1,2,4, , , , , , , , , , 
4,8,2,600,4,5,1,3,2021,1.127,10,5,1,0,0,3,3,4,3,2,3,3,1,5,1,3,1,4,2,3,1,3,1,1,3,5, , , , , , , , , , 
1,8,2,185,4,1,1,4,2021,.912,3,40,1,0,0,5,5,4,1,5,5,5,5,5,2,5,3,3,3,4,3,5,3,4,3,5, , , , , , , , , , 
3,8,2,250,4,2,1,3,2021,.786,4,1,1,1,0,5,5,4,1,5,5,5,4,3,1,5,5,5,5,1,3,5,5,1,5,4, , , , , , , , , , 
1,4,2,330,1,3,1,4,2021,.718,4, ,1,0,0,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4, , , , , , , , , , 
1,4,2,330,1,3,1,4,2021,.718,7,75,1,0,0,4,4,4,4,5,3,4,4,4,4,4,4,5,5,4,4,4,4,5,4,3, , , , , , , , , , 
3,3,2,150,5,1,2,3,2021,1.072,31,25,3,0,0,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,5,3,3,4,5,3, , , , , , , , , , 
2,5,2,220,4,3,1,5,2021,.613,4, ,1,0,0,5,5,1,3,5,5,3,1,3,5,5,3,5,5,3,5,5,5,3,5,2, , , , , , , , , , 
2,5,2,220,4,3,1,5,2021,.613,31,25,2,0,0,5,5,1,3,5,5,3,1,5,5,5,3,5,5,3,5,5,5,5,5,3, , , , , , , , , , 
3,8,2,75,4,3,1,3,2021,.961,61,75,3,0,0,5,5,3,2,5,5,5,3,5,2,5,4,5,5,2,5,4,4,4,3,4, , , , , , , , , , 
3,8,2,200,4,2,1,3,2021,.918,14,40,20,0,0,4,4,3,3,4,4,3,4,3,4,4,4,3,3,3,4,3,3,4,3,3, , , , , , , , , , 
3,8,2,200,4,2,1,3,2021,.918,15,30,20,0,0,4,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,3,3, , , , , , , , , , 
2,6,2,200,6,1,1,1,2021,1.18,61,25,2,0,0,4,4,4,1,2,4,4,3,4,1,5,2,4,1,4,2,4,3,3,4,5, , , , , , , , , , 
4,3,2,300,6,1,1,2,2021,1.1,43,50,1,2,0,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,3, , , , , , , , , , 
3,4,2,350,2,1,2,4,2021,.907,31,15,1,0,0,4,4,3,3,4,4,4,3,4,3,3,4,3,4,2,2,4,4,3,3,4, , , , , , , , , , 
2,6,2,200,4,1,1,2,2021,1.333,3,90,4,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,3,5,5, , , , , , , , , , 
4,6,2,483,4,1,1,3,2021,1.105,2,65,3,0,0,5,5,4,4,4,4,4,4,5,5,2,4,3,4,5,4,3,5,4,3,4, , , , , , , , , , 
4,6,2,200,2,1,1,2,2021,1.292,43,50,2,0,0,5,5,4,5,4,5,5,5,5,5,5,5,3,3,1,4,4,4,4,5,4, , , , , , , , , , 
3,6,2,400,4,2,1,3,2021,.966,4,10,1,1,0,4,4,3,3,3,3,4,3,3,2,3,3,4,2,4,4,3,3,3,3,3, , , , , , , , , , 
4,6,2,37,2,5,1,2,2021,1.292,2,70,20,0,0,4,4,3,5,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,2, , , , , , , , , , 
3,6,2,200,6,4,1,2,2021,.79,31,65,2,0,0,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,3,5,4, , , , , , , , , , 
4,5,2,200,4,1,1,5,2021,.898,2,15,2,0,0,4,5,3,4,4,5,5,4,5,4,5,5,3,4,1,4,4,4,4,4,2, , , , , , , , , , 
1,6,2,440,4,2,1,4,2021,.815,3,20,2,0,0,5,4,3,4,4,2,5,3,5,2,3,4,3,3,5,2,4,3,3,5,5, , , , , , , , , , 
1,6,2,250,7,2,1,3,2021,.747,5,40,1,10,0,5,4,4,4,4,4,5,3,3,2,3,4,5,5,5,4,4,4,2,3,2, , , , , , , , , , 
3,4,2,800,6,4,2,2,2021,.777,31,75,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
3,4,2,500,5,5,2,5,2021,.973,31,20,4,0,0,5,5,3,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,3, , , , , , , , , , 
2,7,2,500,4,5,1,2,2021,1.355,10,30,1,0,0,5,5,4,3,4,4,4,3,5,3,3,3,4,4,1,4,4,4,3,3,4, , , , , , , , , , 
2,7,2,500,4,5,1,2,2021,1.355,31,50,6,0,0,3,3,4,5,4,2,4,4,3,4,4,4,4,4,4,3,3,3,3,4,2, , , , , , , , , , 
2,8,2,125,4,4,1,3,2021,.754,61,20,2,0,0,4,4,3,3,4,3,4,4,4,3,4,3,4,4,3,3,4,3,3,4,4, , , , , , , , , , 
1,7,2,200,2,6,1,2,2021,1.578,61,15,1,0,0,4,4,3,3,4,4,3,3,4,3,4,3,4,4,3,3,3,3,4,4,3, , , , , , , , , , 
1,8,2,350,4,3,1,3,2021,.797,10,20,1,0,0,5,5,5,5,5,5,4,4,5,3,5,4,3,2,1,4,5,4,2,4,5, , , , , , , , , , 
4,6,2,800,1,6,1,5,2021,1.338,5,10,1,2,0,5,5,3,3,5,5,5,3,3,3,5,5,5,5,2,5,4,4,5,5,5, , , , , , , , , , 
4,7,2,800,4,5,1,3,2021,1.489,4,10,1,4,0,4,4,4,3,4,5,5,3,3,3,5,3,4,1,5,5,4,2,2,3,3, , , , , , , , , , 
4,6,2,400,1,3,1,3,2021,1.035,61,10,2,0,0,5,5,5,3,5,5,5,3,5,1,5,5,5,5,1,3,5,3,3,3,5, , , , , , , , , , 
1,5,2,250,1,4,1,2,2021,.623,61,50,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3, , , , , , , , , , 
2,7,2,390,4,3,1,5,2021,1.016,61,20,3,0,0,3,3,1,3,4,3,1,1,3,1,5,1,1,4,5,4,4,3,3,3,3, , , , , , , , , , 
3,5,2,700,3,2,2,2,2021,.716,61,95,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
3,6,2,150,2,4,1,3,2021,.99,61,10,1,0,0,4,3,2,1,4,2,4,1,3,1,3,3,3,2,2,2,3,1,1,1,4, , , , , , , , , , 
1,5,2,525,6,1,2,2,2021,.727,61,75,1,6,0,3,4,3,1,2,5,2,3,3,3,5,3,5,3,5,4,4,4,4,3,4, , , , , , , , , , 
1,7,2,400,4,3,1,3,2021,1.012,3,35,2,0,0,4,4,3,1,4,2,4,3,4,1,5,5,3,2,3,3,4,3,2,3,4, , , , , , , , , , 
1,7,2,275,4,1,1,3,2021,1.205,61,40,2,0,0,4,3,1,3,4,3,3,2,3,3,5,3,3,4,3,2,4,4,3,5,4, , , , , , , , , , 
4,7,2,400,4,3,1,1,2021,1.524,61,100,4,0,0,5,5,5,3,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5, , , , , , , , , , 
1,7,2,275,6,1,1,2,2021,1.157,61,90,4,0,0,5,5,1,1,5,5,4,4,5,3,5,5,3,5,3,3,5,5,3,5,4, , , , , , , , , , 
3,4,2,450,1,2,1,6,2021,.628,61,30,100,0,0,4,4,4,2,4,4,3,4,4,1,5,4,5,4,3,5,4,4,4,4,4, , , , , , , , , , 
3,5,2,800,1,5,2,3,2021,1.584,61,65,100,0,0,4,4,3,3,4,4,2,3,4,3,5,2,4,5,5,4,4,2,4,4,4, , , , , , , , , , 
2,3,2,450,6,1,1,3,2021,1.327,4,25,1,20,0,4,3,5,4,5,5,5,5,4,3,4,4,5,5,5,5,5,5,5,5,5, , , , , , , , , , 
3,7,2,275,4,4,1,4,2021,1.002,10,60,1,0,0,5,5,5,1,5,5,5,4,5,2,1,5,3,3,1,4,4,5,2,3,5, , , , , , , , , , 
3,7,2,275,4,4,1,4,2021,1.002,15,10,2,0,0,4,5,5,3,5,3,5,5,5,4,5,5,3,3,2,3,3,3,5,5,4, , , , , , , , , , 
3,7,2,650,4,1,1,5,2021,2.208,4,25,1,10,0,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,4, , , , , , , , , , 
2,4,2,315,1,2,3,9,2021,.707,3,20,3,3,2,5,4,4,3,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4, , , , , , , , , , 
1,7,2,300,2,5,1,3,2021,1.303,3,10,2,0,0,4,4,1,1,3,3,4,1,4,1,3,4,1,1,5,2,4,3,1,2,4, , , , , , , , , , 
1,7,2,300,4,2,1,3,2021,.967,3,40,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
1,5,2,500,1,3,1,3,2021,.744,1,5,1,0,0,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , 
2,7,2,150,4,2,1,2,2021,1.533,61,50,3,1,0,4,4,3,2,4,4,3,3,4,2,2,2,4,4,2,4,4,3,3,2,4, , , , , , , , , , 
3,5,2,450,2,1,1,8,2021,.837,31,40,4,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,1, , , , , , , , , , 
3,7,2,500,4,3,1,6,2021,1.301,4, ,1,0,0,4,2,1,1,3,3,4,3,3,1,3,3,5,1,3,2,4,1,1,3,3, , , , , , , , , , 
3,6,2,40,7,1,1,3,2021,.892,61,35,8,0,0,4,3,2,4,3,3,4,3,3,3,3,3,3,4,3,3,4,3,4,3,3, , , , , , , , , , 
1,4,2,120,6,8,1,3,2021,.829,61,50,2,2,0,4,4,5,5,4,3,4,3,3,4,5,5,5,3,3,2,4,4,2,3,3, , , , , , , , , , 
2,8,2,300,4,4,1,5,2021,1.415,31,15,3,0,0,4,5,4,4,5,4,4,4,4,5,5,4,5,5,4,5,4,3,1,5,3, , , , , , , , , , 
3,7,2,400,4,6,1,3,2021,1.457,8,50,3,0,0,5,4,4,3,4,3,4,3,5,4,4,5,3,1,2,3,3,3,3,3,4, , , , , , , , , , 
3,4,2,300,7,1,1,5,2021,.751,8,20,1,0,0,5,5,5,4,3,4,5,5,5,4,4,4,5,3,4,4,4,4,3,3,3, , , , , , , , , , 
4,7,2,800,4,5,1,7,2021,.964,2,5,20,0,0,4,3,1,4,5,4,3,2,4,4,5,4,4,5,3,4,5,3,2,3,2, , , , , , , , , , 
4,8,2,200,4,3,1,3,2021,.985,5,25,1,1,0,5,5,3,1,5,4,5,3,5,3,2,5,5,5,2,3,4,3,3,3,1, , , , , , , , , , 
3,4,2,550,6,1,2,2,2021,.751,61,75,1,4,0,5,5,4,1,3,5,2,4,5,1,4,1,5,5,2,4,5,3,3,3,5, , , , , , , , , , 
3,5,2,600,1,5,3,4,2021,.897,3,15,3,0,0,5,5,3,3,3,4,3,4,4,3,4,3,3,3,3,5,3,3,5,5,5, , , , , , , , , , 
3,5,2,600,1,5,3,4,2021,.897,14,25,4,0,0,4,4,3,3,4,4,3,4,4,5,4,4,3,4,3,5,5,3,4,4,3, , , , , , , , , , 
2,3,2,132,6,1,1,3,2021,1.612,31,20,5,0,0,3,3,3,5,3,4,3,3,4,5,3,3,3,3,3,3,3,2,3,3,3, , , , , , , , , , 
2,3,2,132,6,1,1,3,2021,1.612,61,10,12,0,0,3,2,3,2,3,4,3,3,4,1,3,3,3,4,3,3,3,4,3,3,3, , , , , , , , , , 
4,3,2,60,6,1,1,3,2021,1.38,4,50,1,1,0,5,5,3,5,5,5,3,3,3,3,5,3,5,5,3,5,5,3,3,1,5, , , , , , , , , , 
3,5,2,250,1,1,2,3,2021,.705,15,40,5,0,0,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,5,5,1,2,5,4, , , , , , , , , , 
3,5,2,250,1,1,2,3,2021,.705,61,10,5,0,0,4,4,5,5,5,3,2,3,5,3,5,3,5,5,2,5,5,1,2,4,4, , , , , , , , , , 
3,5,2,300,2,3,1,4,2021,.634,3,20,20,0,0,5,4,4,4,4,4,4,3,4,3,4,4,2,2,4,4,4,4,3,3,4, , , , , , , , , , 
1,8,2,300,4,3,1,3,2021,.765,3,40,3,0,0,4,4,3,4,4,4,5,3,5,3,4,4,3,3,2,4,4,3,4,4,4, , , , , , , , , , 
3,5,2,640,1,1,1,3,2021,.94,61,10,1,1,0,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5, , , , , , , , , , 
2,4,2,500,5,3,3,2,2021,.635,61,90,4,0,0,5,5,5,1,5,5,1,3,5,1,5,1,5,5,5,3,5,3,3,5,5, , , , , , , , , , 
3,6,2,300,6,1,1,1,2021,1.053,61,100,2,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , 
3,6,2,300,5,8,1,3,2021,.875,15,20,3,0,0,4,4,5,5,5,4,4,4,4,5,5,4,3,4,1,4,4,4,4,3,3, , , , , , , , , , 
3,6,2,300,5,8,1,3,2021,.875,61,15,2,0,0,4,4,4,3,5,3,2,3,4,3,5,3,3,5,1,4,4,4,4,3,3, , , , , , , , , , 
3,6,2,300,4,1,1,3,2021,.867,4,40,1,8,0,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,3,3,5, , , , , , , , , , 
3,4,2,150,1,4,1,1,2021,.626,61,100,4,0,0,5,4,4,2,4,4,1,2,4,2,4,2,4,4,5,2,4,2,2,3,3, , , , , , , , , , 
2,6,2,250,4,1,1,3,2021,1.005,61,30,1,0,0,5,5,3,1,5,4,5,3,5,1,4,4,5,1,3,5,5,3,1,3,5, , , , , , , , , , 
2,3,2,200,1,2,1,10,2021,.983,17,20,1,0,0,5,5,3,5,5,5,5,4,5,3,4,5,3,5,2,5,5,3,3,3,4, , , , , , , , , , 
2,4,2,600,1,5,2,3,2021,.726,10,30,1,0,0,5,4,4,3,4,4,3,3,4,3,3,2,4,2,4,3,4,4,3,3,4, , , , , , , , , , 
3,5,2,300,6,1,1,1,2021,.75,61,100,5,0,0,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5, , , , , , , , , , 
3,6,2,200,4,2,1,1,2021,.807,61,100,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
2,6,2,250,1,6,2,5,2021,1.044,17,20,6,0,0,4,4,1,2,4,3,3,5,5,2,5,4,2,2,4,4,3,4,3,3,2, , , , , , , , , , 
3,6,2,250,1,3,1,1,2021,.78,61,100,1,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , 
4,5,2,800,5,7,3,3,2021,2.53,43,5,2,0,0,5,5,2,4,5,5,5,4,5,2,5,5,3,2,2,5,5,4,2,3,4, , , , , , , , , , 
2,5,2,400,2,1,2,1,2021,.701,3,100,4,0,0,4,3,1,3,3,4,5,5,4,1,3,4,1,1,3,3,4,3,1,3,1, , , , , , , , , , 
3,5,2,400,7,1,1,2,2021,.944,3,10,1,1,0,5,5,3,5,5,5,5,5,5,1,5,5,5,4,5,3,5,5,1,3,5, , , , , , , , , , 
3,5,2,400,7,1,1,2,2021,.944,4,90,1,5,0,5,5,3,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,1,3,5, , , , , , , , , , 
3,6,2,600,4,5,1,3,2021,1.103,61,40,4,0,0,5,5,3,3,5,5,4,3,4,3,5,5,5,4,2,3,5,5,4,5,4, , , , , , , , , , 
1,6,2,300,1,4,2,3,2021,.835,7,20,1,0,0,4,4,2,4,4,4,2,2,3,4,5,3,3,4,3,5,3,3,3,2,3, , , , , , , , , , 
3,4,2,500,5,3,2,3,2021,.793,15,50,5,0,0,4,3,4,3,4,4,4,3,4,3,4,4,4,3,4,2,4,4,3,4,3, , , , , , , , , , 
